long_prompt,short_prompt,
"An ethereal, detailed digital illustration of a serene white wolf. Its fur, a pure white, is enhanced by a rainbow gradient and a flowing, see-through fabric. The stark black background highlights the wolf's ethereal beauty and adds a fantasy element.",순백의 늑대가 환상적인 배경 속에서 서 있는 장면을 그릴 미드저니 프롬프트 작성해줘,
"A charming nighttime scene, a small robot with a round body, large eyes, and a blue face braves the rain. Holding a vibrant striped umbrella, it stands on a wet, dark street, sheltering itself from the storm.",비 내리는 거리에서 우산을 든 작은 로봇의 장면을 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration of a young woman with vibrant pink dreadlocks, her gaze intently meeting the viewer's. The illustration has a minimalist yet profound atmosphere with a deep purple background, highlighting her serene expression and stylish accessories.",핑크색 드레드 헤어를 가진 젊은 여성을 그릴 미드저니 프롬프트 작성해줘,
"A detailed oil painting: A robed figure stands tall on rocks, staff in hand, mysterious & serene. The full moon rises behind them, casting an ethereal glow on the gray mountains. The figure's gestures & mask add intrigue. The canvas glows with white, gold, and gray hues, capturing a peaceful aura.",회색 산을 배경으로 둔 복장과 지팡이를 든 인물을 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration of a resolute traveler, clad in a dark coat and hat, traversing a desolate landscape. The misty backdrop shrouds the environment, adding mystery to the scene. The illustration captures the figure's purposeful stride, conveying a sense of determination and solitude.",어두운 코트와 모자를 쓴 여행자가 황량한 풍경을 지나가는 장면을 그릴 미드저니 프롬프트 작성해줘,
"An ethereal digital illustration featuring a thoughtful young woman, clad in black, with flowing hair against a soft, blurred backdrop of warm orange and yellow hues. Her gaze, directed sideways, adds an introspective touch, while the foreground focus creates depth, highlighting her as the central serene element.",따뜻한 오렌지와 노란색 배경에서 흑색 의상을 입은 젊은 여성을 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration featuring a grand eye, adorned with a kaleidoscope of smaller eyes and tentacles, all in a vibrant blue and orange. The eyes pop against a stark black background, creating a surreal and ethereal atmosphere.",다채로운 색의 눈과 촉수를 가진 눈을 중심으로 한 일러스트를 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration of a fantastical spider-like creature with three expressive eyes and slender legs. Its vibrant blue body contrasts with its orange limbs and eyes. The creature's legs are elongated and splayed, adding dynamic movement. The focus is on the creature, set against a dark, fuzzy background, emphasizing its vivid colors and intricate details.",세 개의 눈을 가진 거미와 같은 생물을 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration of a solitary figure, clad in a long coat and holding a staff, standing on a bleak shore. The figure's gaze is fixed on the deep blue water, while a large bird soaring above conveys a sense of freedom. The overcast sky mirrors the water's color, casting a soft light on the scene. Blues and grays dominate, creating a serene and contemplative atmosphere.",긴 코트를 입고 바닷가에서 서 있는 인물의 초상화를 그릴 미드저니 프롬프트 작성해줘,
"A stunning 3D render, showcasing a sphere adorned with intricate, symmetrical patterns in vibrant red, against a stark black backdrop. The sphere's intricate details and precise design captivate, while a soft glow adds depth and a realistic dimension, inviting the viewer to explore its intricate beauty.",대칭적인 패턴이 있는 빨간 구체를 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration featuring a majestic, surreal structure in golden hues, with intricate patterns and a sense of flux. The central focal point draws the viewer's eye amidst a galaxy of smaller, colorful orbiting orbs, while the complex details and contrast of textures evoke a sense of awe and mystery.",황금색의 환상적인 구조물이 작은 색색의 구슬과 함께 그려진 장면을 그릴 미드저니 프롬프트 작성해줘,
"A detailed oil painting of an artist's serene sanctuary, capturing the moment in a soft light-filled room, with a focused bearded man creating an abstract masterpiece, surrounded by his tools and creativity.",예술가가 조용히 작업하는 장면을 그릴 미드저니 프롬프트 작성해줘,
"A stunning digital artwork: a woman's profile with a golden mask, luxurious golden lines, and particles creating a sense of movement. The intricate network of lines hints at a larger narrative, while the black background adds drama. An elegant, balanced, and harmonious composition captures the viewer's gaze, immersing them in a world of mystery and dynamism.",금색 마스크를 쓴 여성의 초상화를 그릴 미드저니 프롬프트 작성해줘,
"A glamorous portrait featuring a confident woman in a form-fitting black leather dress, posing against a light blue backdrop. Her pose exudes sophistication, with windswept hair and a captivating gaze directed toward the viewer.",검은 가죽 드레스를 입고 자신감 넘치는 여성을 그릴 미드저니 프롬프트 작성해줘,
"A photorealistic oil painting of Superman, the DC icon, portrays his blue and red suited figure with a dynamic cape, against a simple black background. The portrait's elegance is heightened by a gold frame, emphasizing the superhero's enduring appeal in a traditional art form.",슈퍼맨의 포트레이트를 전통적인 방식으로 그릴 미드저니 프롬프트 작성해줘,
"A detailed black and white illustration of a confident, winged female figure, with intricate details and strong, expressive body language. The artwork has a high contrast, detailed shading, and a sharp focus on the figure against a blurred, textured background, creating depth and mystery.",날개를 가진 여성 인물의 고흐풍 흑백 일러스트를 그릴 미드저니 프롬프트 작성해줘,
"A bold and detailed illustration featuring a confident, raccoon-human hybrid, adorned in a vibrant yellow robe, standing tall in a serene, nature-inspired setting. The character, with a commanding gaze, holds a large sword, striking a balanced and powerful pose, while intricate details and patterns add depth.",노란색 로브를 입고 대자연 속에서 대립적인 자세를 취한 라쿤과 인간의 혼합형 캐릭터를 그릴 미드저니 프롬프트 작성해줘,
"A detailed 3D render, an enchanting miniature world inside a glass egg-shaped capsule rests on a bed of rocks. Inside, a meticulous landscape boasts towering snow-capped mountains, reflected in the waters below, a meadow of vibrant flowers, and a meandering river. Blue skies and flying birds add movement to this serene, balanced scene.",유리 알갱이 안에 있는 작은 세계를 그릴 미드저니 프롬프트 작성해줘,
"A sepia-toned portrait, featuring a woman in a luxurious vintage ensemble. Her mysterious gaze and dramatic cape capture the essence of a storytelling masterpiece, set against a soft, blurred background.",세피아 톤의 여성 초상화와 빈티지 의상을 그릴 미드저니 프롬프트 작성해줘,
"A detailed oil painting of a solemn young man in a regal outfit, his piercing blue eyes holding a hint of mystery. The harmonious composition showcases his nobility and strength, with a green tunic, gold accessories, and a sophisticated hat, all set against a deep blue background. Encased in a gold frame, this portrait exudes power, elegance, and a subtle sense of anticipation.",파란색 배경에서 고귀한 의상을 입은 젊은 남성의 초상화를 그릴 미드저니 프롬프트 작성해줘,
"A majestic throne room, bathed in blue, featuring a glorious ice throne with intricate carvings, occupied by a mysterious hooded figure. The eerie, architecturally grand room, with its arches and columns, is littered with bones, adding to the scene's ominous atmosphere.",푸른 빛을 받는 얼음 왕좌가 있는 궁전에서 후드 쓴 인물을 그릴 미드저니 프롬프트 작성해줘,
"A detailed, contemplative portrait of Lou Gossett Jr., capturing his profile with a gleaming bald head and distinctive mustache against a dark, understated background. The actor's experienced features take center stage, invoking a sense of calm and wisdom.",루 고셋 주니어의 초상화를 그릴 미드저니 프롬프트 작성해줘,
"A detailed 3D render: In the forefront, a majestic red robot, adorned with a spiked helmet and glowing eyes, stands tall. Behind, a metropolis rises against an inferno sky, while a small vessel dwarfs in the corner, hinting at an epic adventure.",붉은 로봇과 거대한 도시를 그릴 미드저니 프롬프트 작성해줘,
"A detailed digital illustration of a moonlit tropical paradise. Lush palm trees sway in the foreground, while a rocky outcropping divides the calm turquoise ocean from a lush green island beyond. The peaceful scene is illuminated by the soft glow of a full and crescent moon, with fluffy white clouds dotting the azure sky.",달빛이 비치는 열대 섬의 풍경을 그릴 미드저니 프롬프트 작성해줘,
"A majestic digital illustration, depicting an awe-inspiring mountainous landscape at dusk. Orange and red skies reflect breathtakingly on a meandering river, while snow-capped mountains loom majestically in the distance. The illustration masterfully uses vibrant colors, contrast, and shading to capture a harmonious, natural scene, evoking a profound sense of wonder.",황혼에 빛나는 산과 강의 풍경을 그릴 미드저니 프롬프트 작성해줘,
"A captivating illustration, featuring a solitary woman adorned in a vibrant, red and orange swimsuit, standing under a palm tree's shade on a peaceful beach. The focus is on her enigmatic figure, highlighted by the lush natural surroundings, with a serene ocean and vibrant blue sky in the background.",붉고 주황색 수영복을 입은 여성을 평화로운 해변에서 그릴 미드저니 프롬프트 작성해줘,
